considerable|adj. 重要的；相当大的；可观的
imaginative|adj. 有想象力的；富于想象的
unimaginable|adj. 难以置信的；不可想象的
visualize|v. 使可见；使形象化；设想
apt|adj. 易有…倾向的；恰当的；聪明的
aptitude|n. 天资；天赋；才能
attainment|n. 达到；获得
attain|v. 达到；获得
calibre|n. 口径；才干；质量
capacity|n. 容量；容积；能力；身份；地位；资格
competent|adj. 有能力的；胜任的
inefficient|adj. 效率低的；不能胜任的
creativity|n. 创造力；创造
disable|v. 使残废；使无能力
gift|n. 礼物；天赋
inborn|adj. 天生的；先天的；天赋的
inherent|adj. 固有的；内在的；天生的
insightful|adj. 有深刻了解的；富有洞察力的
mentality|n. 智力；心理状态
potential|n. 潜力；adj. 潜在的；可能的
viability|n. 生存能力；发育能力；生活力
connect|v. 连接；接通
connection|n. 连接；关联
correlation|n. 相关；相互关系
relevance|n. 相关性
combine|v. 组合；结合
join|v. 加入；连接
relevant|adj. 相关的；有意义的
mathematics|n. 数学
mathematical|adj. 数学的
appreciate|v. 欣赏；理解；感激；增值
appreciation|n. 欣赏；感激；理解
appreciative|adj. 感激的；欣赏的；表示赞赏的
appreciable|adj. 可觉察的；很可观的
accuracy|n. 精确性；准确度
accurate|adj. 精确的；无误的
algebra|n. 代数
altitude|n. 海拔；高度
arc|n. 弧；弧形物；v. 成弧线
arithmetic|n. 算术
ascending|adj. 上升的；向上的；v. 上升；升高；登高；“ascend”的现在分词
ascend|v. 上升；升高；登高
assumption|n. 假设；假想
calculus|n. （人体内的）结石；微积分学
complementary|adj. 互补的；补充的
congruent|adj. 符合的；一致的；全等的
coordinate|v. 协调；使配合；搭配；n. 坐标；adj. （在句子中）并列的；坐标的
cube|n. 立方体；立方
denominator|n. 分母
deviation|n. 偏离；出轨；背弃
enumerate|v. 列举；枚举
error|n. 错误；差错
even|adv. 甚至；甚至于；adj. 偶数的；平坦的；v. 使平均；使相等；使平坦
odd|adj. 奇怪的；奇数的；不成对的；不经常的；adv. （用于数字后）大约
exponent|n. 阐述者；拥护者；代表者；指数
formula|n. 公式；配方；方案；分子式
hyperbola|n. 双曲线
infinity|n. 无限；无穷
intersect|v. 相交；交叉；横穿
intersection|n. 交叉；相交；十字路口；交叉路口
invariance|n. 不变性；恒常性
logarithm|n. 对数
maximize|v. 使增加至¸大限度；¸大化
multiply|v. 乘；增加；繁殖
numerator|n. （分数中的）分子
pentagon|n. 五边形；五角形
percentage|n. 百分比；百分率
permutation|n. 排列；排列中的任一组数字或文字
power|n. 权力；力量；电源；强国；乘方；幂；v. 给…提供能量；供以动力
progression|n. 进步；进展
quadrant|n. 四分之一圆周；象限；四分仪
quotient|n. 商（数学）；份额；系数
sequence|n. 顺序；次序；系列
slope|n. 斜坡；坡度；v. 倾斜；有坡度
statistics|n. 统计学；统计数字
summation|n. 结论；总结；求和
addition|n. 增加；加法；附加物
combination|n. 组合；结合
dimension|n. 尺寸；维度
dimensional|adj. 维度的；空间的；尺寸的
fraction|n. 小部分；分数
equation|n. 方程式；等式
circumference|n. 圆周；周围；周长
cone|n. 圆锥体；圆锥形物；球果；松球
cylinder|n. 圆柱；圆筒；汽缸
diameter|n. 直径
ellipse|n. 椭圆
geometry|n. 几何学
geometric|adj. 几何（学）的
perimeter|n. 周长；周围，边界
polygon|n. 多边形；多角形
radius|n. 半径；范围
rectangle|n. 矩形；长方形
square|n. 平方；正方形；四方形；广场；v. 使成平方；与...一致；adj. 正方形的；四方形的；成直角的；平方的；adv. 成直角地
symmetry|n. 对称
asymmetry|n. 不对称；不¤称
triangle|n. 三角形；三角形物
negotiate|v. 谈判；协商；通过；越过
range|n. （变化）范围；一系列；山脉；v. 包括（各种不同的人或物）；（在某范围内）变化
ranger|n. 护林员；公园看管人；突击队员
benefit|n. 利益；好处；救济金；v. 有益于；有助于
advantage|n. 优势；好处；有利条件
beneficial|adj. 有益的；有用的
discounted|adj. 已折扣的；v. 打折扣；不全信；不重视；“discount”的过去式和过去分词
private|adj. 私人的
secret|n. 秘密；adj. 秘密的
personal|adj. 个人的；私人的
healthcare|n. 卫生护理；医疗保健
purchase|n. 购买；采购；v. 购买；采购
buy|v. 买；换取；收买；相信
purchaser|n. 买主，购买人
scheme|n. 阴谋；计划；v. 密谋；策划
along with|phrase. 与...在一起；沿着；除此之外，还…
one-off|adj. 一次性的
amusement|n. 娱乐；消遣；乐趣；逗乐
coordination|n. 协调；配合；协作
coordinator|n. 协调者；同等的人（或物）
consultation|n. 咨询；磋商
convention|n. 习俗；大会；协定
meeting|n. 会议；会面；v. 遇见；见面；满足；“meet”的现在分词
conference|n. 大型会议；商讨
intercede|v. 说情；求情；调解
negotiable|adj. 可协商的；可转让的；可通行的
reconcile|v. 使和解；使和好；调和
reconciliation|n. 和解；调和
amuse|v. 逗乐；娱乐；消遣
distraction|n. 分心；注意力分散；娱乐
leisure|n. 空闲；闲暇
leisured|adj. 有闲的；悠闲自在的
pastime|n. 消遣；娱乐
recess|n. 休息；休会；壁龛；壁凹；v. 放入壁龛；休息；休会
recreate|v. 再创造；使再现
recreation|n. 消遣；娱乐
recreational|adj. 娱乐的；消遣的
relaxation|n. 放松；消遣；休息
repose|n. 休息；睡眠；安宁；v. 休息； 长眠；静卧；安置于；将（信赖等）寄托于
slacken|v. 减缓；（使）松弛；懈怠
vacation|n. 假期；度假
entitlement|n. 权益；应得的权利；权利资格
subsidise|v. 以津贴补助
welfare|n. 福利；社会救济
well-being|n. 幸福；安乐；康乐
enthusiast|n. 热心者；热衷于…的人
flight|n. 飞行；航班；鸟群；（阶梯的）一段
fantasy|n. 幻想；奇幻
jet|n. 射流；气流；喷射口；喷气式飞机；v. 喷射
pack|v. 包装；收拾行李；塞满；n. 包裹；小包；一群；（纸牌的）一副
equipment|n. 设备；装备
enable|v. 使能够；使可能
climb|v. 攀爬；爬升
vertically|adv. 垂直地；直立地；竖直地
forwards|adv. 向前地
backwards|adv. 向后；倒着；朝反方向
crazy|adj. 疯狂的；狂热的
devoted|adj. 投入的；忠实的；深爱的；全心全意的；v. 投入；献身；“devote”的过去式和过去分词
fanatic|adj. 狂热入迷的；盲信的；n. 狂热者；盲信者
fanaticism|n. 狂热；盲从
frenetic|adj. 发狂似的；狂乱的
frenzy|n. 狂乱；狂暴；狂怒；v. 使狂乱；使狂怒
furor|n. 狂热；狂怒；轰动
mania|n. 狂热； 癖好；躁狂症
zealotry|n. 狂热；狂热的行为
ardent|adj. 热心的；热情的
ardor|n. 激情；热情
cordial|adj. 热诚的；友好的；n. 甜露酒
enthusiasm|n. 热情；热心；热诚
enthusiastic|adj. 充满热情的；热心的
fervent|adj. 热烈的；强烈的；热情的
fervor|n. 热情；热忱；激情
passionate|adj. 热情的；充满热情的
verve|n. 神韵；活力；激情
zeal|n. 热情；热忱
zealous|adj. 热心的；热情的
zest|n. 兴致；热情；趣味；（用于调味的）柠檬皮；橙皮
ache for|phrase. 同情；渴望；想念
aspire|v. 向往；渴望；追求；立志
crave|v. 渴望；热望；恳求
desirable|adj. 值得要的；令人渴望的；称心如意的
desire|n. 欲望；渴望；v. 渴望；期望
desirous|adj. 渴望的；想要的
desperate for|phrase. 渴望
hunger|n. 饥饿；渴求；v. 使饥饿；渴望
long|adj. 长的；长时间的；adv. 长久地；始终；n. 长时间；长期；v. 渴望；盼望
reverie|n. 幻想；白日梦
yearn|v. 渴望；渴求
yen|n. 渴望；日元；v. 渴望
clockwise|adv. 顺时针方向地；adj. 顺时针方向的
disorientate|v. 使迷失方向；使迷惘
orientate|v. 朝东；定位；适应
uphill|adj. 上坡的；漫长而艰难的；adv. 向山上；朝上坡方向
typical|adj. 典型的；有代表性的
typically|adv. 往往；典型地；常常；有代表性地
high-pitched|adj. 声调高的；声音尖锐的；陡的（屋顶）；激烈
exaggerated|adj. 夸张的；夸大的；言过其实的；v. 夸张；夸大；“exaggerate”的过去式和过去分词
exaggerate|v. 夸张；夸大
exaggeration|n. 夸张；夸大
repetitious|adj. 重复的；一再的
repetition|n. 重复；反复
source|n. 来源；出处；源泉；源头；提供资料者；v. 寻找货源
fascination|n. 迷惑力；魅力
fascinate|v. 强烈吸引住；使着迷
linguist|n. 通晓数国语言的人；语言学家
linguistic|adj. 语言的；语言学的
boast|v. 自夸；夸耀；自豪地拥有
boastful|adj. 自吹自擂的；自夸的
bombastic|adj. 夸大的；言过其实的
brag|v. 吹嘘；自吹自擂；adj. 一流的；极好的
magniloquent|adj. 夸大的；言过其实的
overstate|v. 夸大；言过其实
pretentious|adj. 自命不凡的；自负的；矫饰的
acquaint|v. 使熟悉；使相识
acquaintance|n. 认识的人；相识
ambiguous|adj. 模棱两可的；含糊不清的
apprehend|v. 理解；逮捕
comprehensible|adj. 可理解的；能懂的
comprehension|n. 理解；领悟
evident|adj. 明显的
explicit|adj. 明确的；清楚的
grasp|v. 抓紧；领会；n. 紧抓；领会
ignorance|n. 无知；愚昧
ignorant|adj. 无知的；缺乏知识的
intelligible|adj. 可理解的；明白易懂的；清楚的
unintelligible|adj. 难以理解的；难懂的
incomprehensible|adj. 不能理解的；费解的
tangibly|adv. 可触摸地；可触知地；有形地
tangible|adj. 可触摸的；实际的；有形的；确凿的
intangible|adj. 不可捉摸的；无形的；n. 无形的东西
understandable|adj. 可理解的；可懂的
understanding|n. 理解；了解；v. 理解；明白；懂了；“understand”的现在分词
acquisition|n. 获得；得到的东西；收购
acquire|v. 获得；得到；学会
alphabet|n. 字母表
alphabetical|adj. 字母的；按字母顺序的
first-language acquisition|phrase. 母语习得
language acquisition|phrase. 语言习得
language study|phrase. 语言研究；语言学习
mother tongue|phrase. 母语；本国语；本族语
native language|phrase. 本地话
oral|adj. 口述的；口头的
phonetic|adj. 语音的；语音学的
pronounce|v. 发音；宣告
pronounceable|adj. 可发音的；读得出的
spoken language|phrase. 口语
accost|v. （贸然）上前搭讪；（唐突地）走近谈话
chat|v. 聊天；n. 聊天
coax|v. 哄；用好话劝诱；哄骗
colloquial|adj. 口语的；会话的
confide|v. 吐露；委托；信赖
declaim|v. 慷慨陈词；高声朗诵
dumb|adj. 哑的；沉默的；愚笨的
speechless|adj. 无言以对的；一时语塞的
voiceless|adj. 无声的；清音的
effuse|v. 流出；涌出；扩散
equivocate|v. 含糊其辞；说模棱两可的话
excuse|n. 饶恕；借口；致歉；v. 宽恕；原谅；辩解
gabble|v. 急促而含混不清地说；n. 急促不清的话
gossip|n. 流言蜚语；爱说长道短的人；闲话；v. 散播（流言蜚语）
grumble|v. 发牢骚；抱怨；轰鸣；n. 怨言；牢骚；轰隆声
hearsay|n. 传闻；谣传；道听途说
hoarse|adj. 沙哑的；嘶哑的
hubbub|n. 嘈杂；喧哗声
nonsense|n. 无意义的话；胡说
oration|n. 演说；演讲
outwit|v. 以机智胜过；智胜
rumble|n. 隆隆声；辘辘声；v. 隆隆作响；辘辘行驶
solicit|v. 恳求；征求；（妓女）拉客
psychologist|n. 心理学家；心理学研究者
character|n. 人物角色；性格；特点；文字
undergo|v. 经受；经历；遭受
transformation|n. 转化；转换；改革
meaningful|adj. 意味深长的；有意义的
trait|n. 特性；特点
personality|n. 人格；个性； 名人
adorable|adj. 可爱的；讨人喜欢的
adore|v. 爱慕；敬慕；崇拜
ambitious|adj. 有野心的；有雄心的
ambition|n. 野心；雄心；抱负
aspiring|adj. 有抱负的；有志向的；渴求的；v. 向往；渴望；追求；立志；“aspire”的现在分词
bravery|n. 勇敢；大胆；无畏
brave|adj. 勇敢的；无畏的
brilliant|adj. 光辉的；明亮的；灿烂的；卓越的；极好的
courageous|adj. 勇敢的；有胆量的
courage|n. 勇气；勇敢
daring|adj. 大胆的；勇敢的；v. 敢于；胆敢；“dare”的现在分词
fearless|adj. 无畏的；大胆的
forgiving|adj. 宽恕的；宽大的；仁慈的；v. 原谅；宽恕；“forgive”的现在分词
genial|adj. 亲切的；和蔼的；温暖的
amiable|adj. 和蔼可亲的；亲切友好的
humorous|adj. 幽默的；风趣的
humor|n. 幽默；诙谐；情绪；v. 迁就；迎合
independent|adj. 独立的；自主的
ingenuous|adj. 单纯的；天真的；坦率的
intrepid|adj. 无畏的；勇猛的
intrepidity|n. 无畏；勇猛
perfect|adj. 完备的；完美的；v. 使完美
perfection|n. 完美；完善
quick wit|phrase. 机智
romantic|adj. 浪漫的
romanticism|n. 浪漫主义
spunky|adj. 有胆量的；精力充沛的
arbitrary|adj. 任意的；专横的；武断的
arrogant|adj. 傲慢的；自大的
haughty|adj. 傲慢的；高傲自大的
bad-tempered|adj. 脾气不好的；易怒的
barbaric|adj. 野蛮的；野蛮人的；残暴的
savage|adj. 野性的；凶猛的；荒野的；n. 野蛮人；粗人；凶恶的人；v. 凶狠地攻击；激烈抨击
bossy|adj. 专横的；爱发号施令的；n. 母牛或小牛
conceited|adj. 自负的；骄傲自大的
conceit|n. 自负；骄傲自大
dishonest|adj. 不诚实的；不正直的
honest|adj. 诚实的；正直的；坦率的
foxy|adj. 妖艳的；性感的；狡猾的
crafty|adj. 巧妙的；狡诈的
haste|n. 急速；匆忙，仓促
hasten|v. 催促；赶紧；加速
hypocritical|adj. 伪善的；虚伪的
hypocrisy|n. 伪善；虚伪；造作
impatient|adj. 不耐烦的；焦急的
irresponsible|adj. 不负责任的；无责任感的
responsible|adj. 有责任的；负责任的
irritable|adj. 易怒的；易暴躁的
irritation|n. 愤怒；激怒；疼痛处
passive|adj. 消极的；被动的；被动语态的
inactive|adj. 不活动的；不活跃的；怠惰的
quarrelsome|adj. 爱争吵的；好争论的
rude|adj. 粗鲁的；无礼的
selfish|adj. 自私的
vulgar|adj. 庸俗的；粗俗的；粗野的；下流的
vulgarity|n. 粗俗；庸俗
weird|adj. 离奇的；古怪的；怪异的
hull|n. 外壳；皮；船身；船体；v. 去壳
hang|v. 悬挂；吊；绞死；n. 悬挂；绞刑
lift|v. 举起；抬起；提起；解除；n. 电梯；搭便车
frame|n. 框架；结构；骨架；模式；v. 制定；框住；陷害；表达
clear of sth.|phrase. 清除某物；远离某物
seabed|n. 海床
suction|n. 吸；抽吸；吸出；v. 抽吸；吸出
surrounding|adj. 周围的；附近的；v. 环绕；围绕；“surround”的现在分词
surround|v. 环绕；围绕
mud|n. 泥；泥土
salvage|v. 打捞；挽救；挽回；抢救；n. （对财物等的）抢救；抢救出的财物
progress|n. 进展；进步；缓慢前进；稳步前进；v. 进展；进步；（时间）逐渐过去；前进
progressive|adj. 先进的；前进的；n. 改革论者；进步论者
stage|n. 阶段；时期；舞台；v. 举行；上演
cape|n. 披风；海角
channel|n. 河床；海峡；（水）槽；渠道；频道；途径；v. 引导；开导；形成河道
coast|n. 海岸；海滨
coastal|adj. 海岸的；沿海岸的
gulf|n. 海湾；鸿沟；隔阂
inlet|n. 入口；进口；小湾
islet|n. 小岛
main stream|phrase. 干流；主流
maritime|adj. 海的；海事的；海运的
ocean current|phrase. 洋流
oceanic basin|phrase. 海盆
oceanic ridge|phrase. 海脊
oceanic trench|phrase. 海沟
offshore|adv. 离岸；近海岸；adj. 离岸的；近海的
saline|adj. 盐的；含盐的；咸的；n. 盐水
sea level|phrase. 海平面
sediment|n. 沉积物；沉淀物
sedimentation|n. 沉淀；冲积；沉积
sedimentary|adj. 沉积的；沉淀性的；沉淀作用造成的
shallow|adj. 浅的；浅薄的
strait|n. 海峡
submarine|n. 潜水艇；adj. 海面下的
ancient|adj. 古代的；古老的；n. 古人
antique|n. 古董；古代文物；adj. 古老的；过时的
antiquity|n. 古代；古迹；古老
archaeological|adj. 考古学的
archaeologist|n. 考古学家
archaeology|n. 考古学
archaic|adj. 古老的；过时的
artifact|n. 人工制品；手工艺品；加工品
burial object|phrase. 埋藏物；随葬品
chronological|adj. 按时间先后顺序排列的
data processing|phrase. 数据处理
excavate|v. 挖掘；发掘
excavation|n. 挖掘；发掘
medieval|adj. 中世纪的；中古的
Mesolithic|n. 中石器时代（旧石器时代与新石器时代之间的时代）；adj. 中石器时代的
Neolithic|adj. 新石器时代的
Paleolithic|adj. 旧石器时代的
prehistoric|adj. 史前的；陈旧的
prehistory|n. 史前时期
primordial|adj. 原始的；远古的；¸初的
remainder|n. 剩余物；其余的人；余数；v. 廉价出售
remains|n. 遗迹；残余；遗体；v. 剩下；留下；依然不变；“remain”的第三人称单数
remnant|n. 剩余；残余部分；零头布料；adj. 残留的
remote sensing|phrase. 遥感；远距离读出
residue|n. 残渣；剩余物
scientific method|n. 科学方法
skull|n. 颅骨；头骨
trace|n. 痕迹；轨迹；微量；追踪；v. 追踪；追溯；仔细查找；描摹
unearth|v. 掘出；挖掘；揭露
vestige|n. 丝毫；遗迹；痕迹
population|n. 人口
rapidly|adv. 迅速地；快速地
remain|v. 剩下；留下；保持
more or less|phrase. 或多或少
the arrival of ...|phrase. ...的到来
deadly|adj. 致死的；极度的；adv. 如死一般地；非常地
deathful|adj. 致命的
fatal|adj. 致命的；灾难性的
islander|n. 岛民；岛上居民
immunology|phrase. 免疫学
assassination|n. 暗杀；刺杀
choke|n. 窒息；阻塞；v. 窒息；阻塞
defunct|adj. 已故的；不复存在的；n. 死者
demise|n. 死亡；逝世；消亡；（不动产的）转让；让位
expire|v. 终止；期满；断气；死亡
expiry|n. 满期；终止
incinerate|v. 焚化；焚毁；把…烧成灰烬
invasive|adj. 侵入的；侵袭的；扩散的；开£的
lethal|adj. 致命的；可致死的
mischievous|adj. 调皮的；恶作剧的；有害的
mortal|n. 凡人；adj. 致命的；终有一死的
mortality|n. 死亡人数；死亡率；必死性
immortal|adj. 不朽的；永世的；不死的；n. 不朽的人物；神仙；永生不灭者
immortality|n. 不朽；永生
noxious|adj. 有害的；有毒的；可憎的
poisonous|adj. 有毒的
smother|v. 厚厚地覆盖；使…窒息；闷死
suicide|n. 自杀
suicidal|adj. 自杀的；有自杀倾向的；有致命危险的
toxic|adj. 有毒的；中毒的；n. 毒物；毒剂
toxicity|n. 毒性；毒力
non-toxic|adj. 无毒的
toxin|n. 毒素；毒质
poison|n. 毒药；毒物；v. 毒害；下毒
venom|n. 毒液；愤恨
venomous|adj. 分泌毒液的；有毒的；恶毒的
affirm|v. 断言；肯定；证实
affirmation|n. 肯定；确认；证实
reaffirm|v. 重申；再次肯定
assert|v. 断言；宣称；坚持；维护
assertiveness|n. 自信；果断；坚定
assertion|n. 断言；主张；声明
believe|v. 相信；认为；信任
conclude|v. 推断出；得出结论；结束
declare|v. 宣布；宣告；断言；申报纳税
deem|v. 认为；觉得
discerning|adj. 有辨别力的；能洞悉的；眼光敏锐的；v. 辨明；识别；洞悉；“discern”的现在分词
discernible|adj. 可辨别的
dogmatic|adj. 教条的；武断的；固执己见的
illegible|adj. 难辨认的；模糊的
pending|adj. 待定的；即将发生的；prep. 在等待…期间；直到…为止
protest|n. 抗议；抗议活动；v. 抗议
suppose|v. 认为；假设；猜想
crude|adj. 未加工的；粗鲁的；简陋的
awareness|n. 意识；认识；察觉
aware|adj. 意识到的；知道的
unaware|adj. 没意识到；不觉察的；不知道的
deal|n. 交易；协议；v. 处理；对付；交易
dealer|n. 经销商；商人
political|adj. 政治的；政权的
acid rain|phrase. 酸雨
air pollution|phrase. 空气污染
biodegradable|adj. 可生物降解的
carbon emission|n. 碳排放
carpool|v. 拼车
climatic deterioration|phrase. 气候恶化
deteriorate|v. 恶化；变坏；退化
disposable|adj. 用后即丢弃的；一次性的；可自由支配的
drive less|phrase. 少开车
ecological degradation|phrase. 生态退化
environmental awareness|phrase. 环保意识
environmental issue|phrase. 环境问题
environmental pollution|phrase. 环境污染
environmental protection|phrase. 环境保护
groundwater contamination|phrase. 地下水污染
hybrid electric vehicle|phrase. 混合动力电动汽车
industrial waste control|phrase. 工业废料管理
land resource|phrase. 土地资源
low carbon|phrase. 低碳
mass transportation|phrase. 大规模运输；公众交通
mineral resource|phrase. 矿产资源
noise pollution|phrase. 噪音污染
plastic bag|phrase. 塑料袋
pollutant|n. 污染物
polluter|n. 污染源；污染物质
pollution|n. 污染；污染物
radioactive|adj. 放射性的
rainfall|n. 降雨量；下雨
recycle|v. 再循环
refuse disposable goods|phrase. 拒绝使用一次性用品
renewable|adj. 可更新的；可再生的
reuse|n. 回用；重复使用；再次使用；v. 再使用；重复使用
sustainable development strategy|n. 可持续发展战略
water conservation|phrase. 节约用水；水分保持；水资源保护
water pollution|phrase. 水污染
water resource|phrase. 水资源
white pollution|phrase. 白色污染
worsen|v. 恶化；损害
automatically|adv. 自动地；无意识地
cognition|n. 认识；认知
subliminal|adj. 下意识的；潜意识的
subliminally|adv. 下意识地；潜意识地
perceive|v. 察觉；理解；发觉
exist|v. 存在；生存；活着
existence|n. 存在；生存
coexistence|n. 共存；共处
primitive|adj. 原始的；简陋的
traverse|v. 横穿；横越；穿过；n. 横贯；横木
game|n. 游戏；比赛
survival|n. 生存；存活；幸存；残存物
biophysical environment|phrase. 生物物理环境
cave man|phrase. 穴居人
common descent|phrase. 共同祖先
cranial|adj. 头盖的；颅骨的；颅的
Darwin|n. 达尔文（英国生物学家，进化论创立者）
Darwinism|n. （认为生物通过自然选择而进化的）达尔文主义；达尔文学说；进化论
degenerate|adj. 退步的；堕落的；腐化的；v. 退化；堕落；n. 堕落的人
degradation|n. 降级；恶化
descendant|n. 后裔；子孙；后代
descend|v. 下降；突然造访；突袭；沦落；起源
directional selection|phrase. 定向选择
ecological anthropologist|phrase. 人类生态学家
evolutionary change|phrase. 进化；渐进式改革
evolve|v. 形成；演变；进化
evolutionary|adj. 进化的；发展的；演变的
food chain|phrase. 食物链
hominid|n. 原始人类；adj. 人科的
natural selection|phrase. 自然选择；物竞天择
offspring|n. 后代；子女；幼苗
origin|n. 起源；起因；出身；来历
outgrow|v. 比…长得高（或大、快）；长大而不再；因长大而对…失去兴趣
paleoanthropologist|n. 古人类学家
paleoanthropology|n. 古人类学
psychological anthropologist|phrase. 人类心理学家
weed out|phrase. 清除；淘汰
consecutive|adj. 连续的；连贯的
successive|adj. 继承的；连续的
constantly|adv. 不断地；时常地
fitful|adj. 断断续续的；一阵阵的
frequency|n. 频率；频数；频繁
frequently|adv. 频繁地；时常
incessant|adj. 不断的；不停的；连续的
incoherent|adj. 不连贯的；语无伦次的
occasional|adj. 偶然的；临时的；不时的
occasionally|adv. 偶尔；有时
periodical|adj. 周期的；定期的；n. 期刊
periodically|adv. 周期性地；定期地
perpetual|adj. 永恒的；持续的；永久的
swift|adj. 快的；迅速的；敏捷的；n. 雨燕
introduce|v. 介绍；引进
introduction|n. 介绍；引言；传入
studious|adj. 好学的；用功的；仔细的；故意的
avoidance|n. 避免
avoid|v. 避免；避开
pattern|n. 模式；图案；样式；v. 形成图案；仿造
repeat|v. 重复；重做；n. 重复；重做
repeatedly|adv. 重复地；再三地
austerity|n. 紧缩；艰苦朴素；节俭
courtesy|n. 礼貌；谦恭
diligence|n. 勤奋；勤勉；用功
forgiveness|n. 宽恕；原谅；宽宏大量
gentilesse|n. （古语）礼貌；文雅
grace|n. 优雅；恩宠
honesty|n. 诚实；正直；老实
humility|n. 谦逊；谦虚；谦卑
kindness|n. 好意；善良
moral|adj. 道德的；道义上的；n. 寓意；道德
morality|n. 道德；道义
moralism|n. 伦理
norm|n. 准则；标准
superstructure|n. 上层结构；上部构造
upright|adv. 笔直地；adj. 直立的；竖直的；正直的；诚实的
valor|n. 英勇；勇猛
virtue|n. 美德；优点
willpower|n. 意志力；毅力
album|n. 相册；专辑
blues|n. 布鲁斯音乐；忧郁的情绪；n. 蓝色；“blue”的复数
cassette|n. 盒子；盒式磁带
composition|n. 构成；作品，作曲；（学生）作文；创作技巧
country-folk|n. 乡下人
country-pop|phrase. 乡村音乐
cowboy|n. 牛仔；牧童
disc|n. 圆盘；磁碟；唱片
funk|n. 恐惧；怯懦；放克音乐；v. 害怕；畏缩
hip-hop|n. 街舞；嘻哈文化；adj. 嘻哈的；嘻哈文化的
house|n. 房子；房屋
jazz|n. 爵士乐
melodic|adj. 有旋律的；调子美妙的
melody|n. 旋律；曲调
music|n. 音乐；乐曲
musical|adj. 音乐的；擅长音乐的；喜欢音乐的；悦耳的；n. 音乐剧；音乐歌舞片
notation|n. 记号；标记法；符号
punk|n. 小流氓；小阿飞；不良少年；废物；朋克摇滚乐；adj. 朋克风格的
rap|n. 说唱乐；v. 说唱；敲击
record|n. 记录；唱片；v. 记录；录制
reggae|n. 雷盖乐；雷鬼音乐
royalty|n. 皇家；皇族；版税
soul|n. 灵魂；心灵
stereo|n. 立体声；立体声音响；adj. 立体声的
tape|n. 磁带；胶带；录音带；带子；v. 录音；用带子捆；用胶带粘
tempo|n. 拍子；节奏；速度
timbre|n. 音色；音质；音品
tuneful|adj. 悦耳的
vocal|adj. 嗓音的；发声的；歌唱的；直言不讳的
duplication|n. 复制；重复；拷贝
copy|n. 复制品；副本；v. 复制；拷贝
replicate|v. 复制；重复
commence|v. 开始发生；着手
commencement|n. 开始；毕业典礼；学位授予典礼
inaugurate|v. 开创；为（某人）举行就职典礼；为…举行开幕仪式
inauguration|n. 就职典礼；开幕式；落成典礼
inaugural|adj. 就职的；开幕的；创立的；n. 就职演说
initial|adj. ¸初的；开始的；n. 首字母；v. 用姓名的首字母签名于
initially|adv. ¸初；开始；起初
preliminary|adj. 预备的；初步的
renew|v. 重新开始；更新
renewal|n. 更新；复兴；续订；恢复
resume|v. （中断后）继续；重新开始；n. 简历
threshold|n. 门槛；门口；起始点
doorway|n. 门口；门道；出入口
outset|n. 开端；起始
general|adj. 总的；普遍的；一般的；大致的；首席的；n. 将军
generalization|n. 概括；概论；归纳
sense|n. 知觉；感知；理解力；意义；v. 意识到；感觉到；觉察出
prescriptivism|n. 规定主义（指传统语法）
view|n. 视野；风景；见解；v. 审视；观看
variety|n. 变化；多样性；（同一事物）不同种类；（动植物的）品种
language|n. 语言
inherently|adv. 天性地；固有地；本质上地
ought to|phrase. 应该
impose|v. 强加；征收；施加影响；利用；强制实施
adaption|n. 适应；改编
advisable|adj. 明智的；可取的
becoming|adj. 合适的；与…相称的；适当的；v. 变成；成为；变得；“become”的现在分词
coincide|v. 一致；相符合；巧合
agree|v. 同意；赞成
conformity|n. 符合；一致；遵从；依照
fit|adj. 健康的；适合的；v. 符合；合身
fitting|n. 试衣；试样；adj. 适合的；恰当的；v. 符合；合身；“fit”的现在分词
pertinent|adj. 中肯的；相关的；切题的
plausible|adj. 看似真实的；似乎可信的；似乎合理的
properly|adv. 适当地；得体地；正确地
suitable|adj. 合适的；适宜的
abridge|v. 删节；缩短；精简
clause|n. 从句；条款
concise|adj. 简明的；简要的
genre|n. （文艺作品的）类型；体裁；题材
glossary|n. 术语汇编；词汇表
grammar|n. 语法
implicit|adj. 含蓄的；暗示的；无疑的；绝对的
lexical|adj. 词汇的
lingual|adj. 舌的；舌状的；语言的
parlance|n. 说法；用语；术语
phonemics|n. 音位学
sentence|n. 句子；判决；宣判；v. 判决；判刑
sound|n. 声音；声响；v. 响；听起来；adj. 健全的；完好的；合理的；可靠的；酣睡的
syllable|n. 音节
symbol|n. 符号；象征；标志
symbolic|adj. 象征的；符号的
tense|adj. 紧张的；拉紧的；n. 时态
decide|v. 决定
species|n. 物种；种类
indication|n. 指示；迹象；表示
rural|adj. 农村的；乡村的
urban|adj. 城市的；都市的
urbanization|n. 都市化；城市化
demonstration|n. 示范；演示；论证；示威
denote|v. 表示；代表
signify|v. 表示；预示；象征；要紧
disclose|v. 揭露；透露；泄露
expose|v. 暴露；揭露；使遭受
exposure|n. 暴露；显露；揭露
manifest|v. 表明；显现；使人注意到；adj. 明显的；n. 载货单；旅客名单
point|n. 点；观点；要点；分数；v. 指向；指出；弄尖；瞄准
presentation|n. 演出；展示；陈述；报告
proclaim|v. 宣告；公布；表明
announce|v. 宣布；宣称
proclamation|n. 宣言；公告；声明
revelation|n. 揭露；被揭示的真相
